t,I_real,I_model,u_opt,R0_t,eta_acum
311,60,95.9312339617633,0.444998933089453,1.25037816368161,-0.240772119293657
312,77,97.0848814694695,0.444998933089453,1.25037816368161,-0.134186937363546
313,82,98.2482959895448,0.432290174166344,1.27901009899194,-0.108237540655098
314,83,99.4216739230667,0.432290174166344,1.27901009899194,-0.109078380884478
315,87,100.605138013413,0.432290174166344,1.27901009899194,-0.0901112378546542
316,99,101.798762361422,0.432290174166344,1.27901009899194,-0.0184841861850529
317,45,103.002588520691,0.432290174166344,1.27901009899194,-0.381982556397864
318,39,104.716159294025,0.432290174166344,1.27901009899194,-0.431552557412506
319,89,106.345629809825,0.432290174166344,1.27901009899194,-0.113584863368551
320,95,107.926642307987,0.432290174166344,1.27901009899194,-0.0844089433780084
321,110,109.482118940736,0.432290174166344,1.27901009899194,0.00337216305539914
322,109,111.02680398325,0.432290174166344,1.27901009899194,-0.0131604134951033
323,134,112.570183114242,0.432290174166344,1.27901009899194,0.13875828225195
324,83,114.11835971937,0.432290174166344,1.27901009899194,-0.200929277840174
325,64,115.675260886699,0.443485570973326,1.25378766153047,-0.332723140563032
326,68,117.243412580424,0.443485570973326,1.25378766153047,-0.316162325122715
327,101,118.824437901146,0.443485570973326,1.25378766153047,-0.114115065785667
328,120,120.419377348728,0.443485570973326,1.25378766153047,-0.00267732306662075
329,150,122.02889466392,0.443485570973326,1.25378766153047,0.178064599817623
330,115,123.140084435342,0.443485570973326,1.25378766153047,-0.051674047488183
331,84,124.362742048221,0.443485570973326,1.25378766153047,-0.255507284170258
332,112,125.66095254666,0.443485570973326,1.25378766153047,-0.0862354992788485
333,97,127.011517477212,0.443485570973326,1.25378766153047,-0.188920433927118
334,114,128.399438681493,0.443485570973326,1.25378766153047,-0.0903911280798939
335,89,129.815005606031,0.443485570973326,1.25378766153047,-0.255501076666052
336,97,131.251916676679,0.443485570973326,1.25378766153047,-0.213822661319498
337,95,132.706067545474,0.411634710604404,1.32554539800017,-0.23475911224861
338,112,134.174769428752,0.411634710604404,1.32554539800017,-0.137707857771679
339,60,135.656244842704,0.411634710604404,1.32554539800017,-0.468635971664297
340,101,137.149302263205,0.411634710604404,1.32554539800017,-0.223349411521827
341,126,138.65312620061,0.411634710604404,1.32554539800017,-0.0779793473239706
342,120,141.840893423842,0.411634710604404,1.32554539800017,-0.134261598545919
343,146,144.72056186187,0.411634710604404,1.32554539800017,0.00784518419784878
344,157,147.412892095023,0.411634710604404,1.32554539800017,0.058637665745637
345,115,149.995239837052,0.411634710604404,1.32554539800017,-0.213503987547437
346,50,152.517158560215,0.411634710604404,1.32554539800017,-0.623884612315684
347,114,155.010390208075,0.411634710604404,1.32554539800017,-0.248951666618911
348,145,157.495262955124,0.411634710604404,1.32554539800017,-0.0756628456642393
349,150,159.984788408556,0.474046279377595,1.18493654621992,-0.060299417489444
350,169,162.487285643751,0.474046279377595,1.18493654621992,0.0392188403578376
351,227,165.008061819741,0.474046279377595,1.18493654621992,0.372245912776487
352,191,167.550488579207,0.474046279377595,1.18493654621992,0.140408709041516
353,153,170.116691448052,0.474046279377595,1.18493654621992,-0.102199575905743
354,245,168.82404874697,0.474046279377595,1.18493654621992,0.453544245317421
355,234,168.2788737602,0.474046279377595,1.18493654621992,0.390195929459382
356,216,168.218579016862,0.474046279377595,1.18493654621992,0.282889091790256
357,177,168.472124204425,0.474046279377595,1.18493654621992,0.0503478384928827
358,153,168.928070662383,0.474046279377595,1.18493654621992,-0.0937754945525028
359,93,169.513785552018,0.474046279377595,1.18493654621992,-0.449216280199782
360,60,170.181903652592,0.474046279377595,1.18493654621992,-0.645088116880881
361,104,170.901513427376,0.475773011392155,1.18104634107571,-0.390605938093753
362,199,171.652418421426,0.475773011392155,1.18104634107571,0.159227145639687
363,149,172.421400699045,0.475773011392155,1.18104634107571,-0.135990842559569
364,198,173.199787691013,0.475773011392155,1.18104634107571,0.143599897650733
365,215,173.981867674201,0.475773011392155,1.18104634107571,0.236853518504978
366,139,174.647052301901,0.475773011392155,1.18104634107571,-0.20527501251146
367,86,175.332558714395,0.475773011392155,1.18104634107571,-0.513019652846497
368,199,176.028584997927,0.475773011392155,1.18104634107571,0.131560944904952
369,124,176.728683083877,0.475773011392155,1.18104634107571,-0.301164926452725
370,192,177.428591700833,0.475773011392155,1.18104634107571,0.0830004475494152
371,171,178.125475672512,0.475773011392155,1.18104634107571,-0.0404778462689917
372,158,178.817430046269,0.475773011392155,1.18104634107571,-0.117939273916167
373,124,179.503156835699,0.497742411456744,1.13155083602585,-0.313583370057958
374,155,180.181754280904,0.497742411456744,1.13155083602585,-0.141873645585223
375,176,180.852579459029,0.497742411456744,1.13155083602585,-0.0272629110148398
376,202,181.515158715927,0.497742411456744,1.13155083602585,0.11476762488454
377,194,182.169129277759,0.497742411456744,1.13155083602585,0.0660988793969744
378,205,181.260291996631,0.497742411456744,1.13155083602585,0.132265542250622
379,268,180.649165664121,0.497742411456744,1.13155083602585,0.485328390563906
380,149,180.229836981653,0.497742411456744,1.13155083602585,-0.173036998930341
381,148,179.932790861904,0.497742411456744,1.13155083602585,-0.17644528365541
382,173,179.712400380956,0.497742411456744,1.13155083602585,-0.0369877775052697
383,160,179.53871798212,0.497742411456744,1.13155083602585,-0.107370980782134
384,265,179.392088656962,0.497742411456744,1.13155083602585,0.469157300685537
385,349,179.259614696072,0.687396425377586,0.704273751710967,0.92721765507562
386,241,179.132835389505,0.687396425377586,0.704273751710967,0.336689073679393
387,140,179.00620400669,0.687396425377586,0.704273751710967,-0.211485636706694
388,110,178.876088013419,0.687396425377586,0.704273751710967,-0.372048941418787
389,271,178.740112706888,0.687396425377586,0.704273751710967,0.49651791151479
390,313,165.152308393603,0.687396425377586,0.704273751710967,0.792743867850953
391,197,154.264907575602,0.687396425377586,0.704273751710967,0.228299643569381
392,243,145.299012202903,0.687396425377586,0.704273751710967,0.52002909172842
393,125,137.713678771627,0.687396425377586,0.704273751710967,-0.0674238942056109
394,106,131.132725563285,0.687396425377586,0.704273751710967,-0.13280116100555
395,65,125.294071070678,0.687396425377586,0.704273751710967,-0.317440478832749
396,98,120.014667845569,0.687396425377586,0.704273751710967,-0.115486424789059
397,79,115.166230243257,0.474353426640995,1.18424456515161,-0.189147528483553
398,101,110.658432634237,0.474353426640995,1.18424456515161,-0.0503881020781841
399,150,106.427277959054,0.474353426640995,1.18424456515161,0.22675799808319
400,209,102.427044794851,0.474353426640995,1.18424456515161,0.55325348059635
401,124,98.6247112924992,0.474353426640995,1.18424456515161,0.13140745233264
402,75,105.965927334266,0.474353426640995,1.18424456515161,-0.159965958094473
403,159,110.874663306746,0.474353426640995,1.18424456515161,0.248001522932123
404,141,114.191374233702,0.474353426640995,1.18424456515161,0.137814463828317
405,185,116.465515573759,0.474353426640995,1.18424456515161,0.351456565520013
406,144,118.056331130848,0.474353426640995,1.18424456515161,0.132720722250926
407,119,119.198716424633,0.474353426640995,1.18424456515161,-0.00101411801786105
408,80,120.046267214137,0.474353426640995,1.18424456515161,-0.203876284737075
409,103,120.699420089064,0.297402574350047,1.58290232446203,-0.0899314026839805
410,203,121.223849892375,0.297402574350047,1.58290232446203,0.414880686470728
411,191,121.662498507777,0.297402574350047,1.58290232446203,0.351244846787128
412,269,122.043440296254,0.297402574350047,1.58290232446203,0.743321938991178
413,228,122.385025571977,0.297402574350047,1.58290232446203,0.533409390718057
414,203,131.044829404321,0.297402574350047,1.58290232446203,0.362865208722549
415,162,138.024983430796,0.297402574350047,1.58290232446203,0.120723378307373
416,120,143.990435906896,0.297402574350047,1.58290232446203,-0.120620387232792
417,139,149.359409174484,0.297402574350047,1.58290232446203,-0.0520078202882244
418,262,154.395270546151,0.297402574350047,1.58290232446203,0.539407622551705
419,212,159.264180431871,0.297402574350047,1.58290232446203,0.263963840628045
420,293,164.071271597248,0.297402574350047,1.58290232446203,0.644380545330375
421,168,168.883357308502,0.155843377277409,1.90182518685079,-0.00440998894657523
422,129,173.74318526938,0.155843377277409,1.90182518685079,-0.223197967402298
423,90,178.678385124341,0.155843377277409,1.90182518685079,-0.442021727835232
424,182,183.707084881399,0.155843377277409,1.90182518685079,-0.00850244292502582
425,298,188.841436030487,0.155843377277409,1.90182518685079,0.543262154583239
426,238,202.756817483028,0.155843377277409,1.90182518685079,0.175262921628183
427,319,215.285180017848,0.155843377277409,1.90182518685079,0.515370192799339
428,419,227.142042219467,0.155843377277409,1.90182518685079,0.952625291862533
